Parameters:
  nodes               (unsigned)          1
Options:
  -l, --minblocksize  (bytes)             128
  -u, --maxblocksize  (bytes)             2048
nsteps: 4
Nodes, Procs, Round, NBytes, Blocksize, Algo, Rank, Ttotal, Tmerge, Tcomm
blocksize: 128
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 2, 4.071e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 3, 4.15593e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 4, 4.38616e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 5, 4.42788e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 6, 4.49121e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 7, 4.42713e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 8, 4.16189e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 9, 4.34443e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 10, 4.48376e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 11, 4.70057e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake8, 0, 4.62309e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake8, 1, 3.96669e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake8, 2, 4.60222e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake8, 3, 4.12017e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake8, 4, 4.22448e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake8, 5, 4.41447e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake8, 6, 4.70802e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake8, 7, 3.79235e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake8, 8, 4.21852e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake8, 9, 4.14103e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake8, 10, 4.51133e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake8, 11, 4.03002e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 0, 7.18608e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 1, 3.17022e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 2, 3.17022e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 3, 3.30284e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 4, 3.56883e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 5, 3.68655e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 6, 3.36617e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 7, 3.40119e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 8, 3.23355e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 9, 6.50212e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 10, 3.20598e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 11, 3.40119e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 0, 4.14178e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 1, 3.57553e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 2, 3.79905e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 3, 3.57553e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 4, 4.20436e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 5, 3.95253e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 6, 3.91826e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 7, 3.95253e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 8, 3.67388e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 9, 3.694e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 10, 3.79235e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 11, 3.65973e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 0, 4.00841e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 1, 3.33861e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 2, 4.20436e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 3, 3.5271e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 4, 4.01586e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 5, 3.97488e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 6, 3.91081e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 7, 3.5271e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 8, 3.53456e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 9, 3.53381e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 10, 3.56883e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 11, 3.81991e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 0, 3.91901e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 1, 3.24026e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 2, 3.20598e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 3, 3.26112e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 4, 3.49209e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 5, 3.45781e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 6, 3.49283e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 7, 3.72231e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 8, 3.30359e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 9, 3.15011e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 10, 3.36543e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 11, 3.33115e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 0, 3.99575e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 1, 3.7089e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 2, 4.19095e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 3, 4.28781e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 4, 4.03672e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 5, 4.48376e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 6, 4.37945e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 7, 3.8065e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 8, 5.05596e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 9, 4.28781e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 10, 4.37945e-05, 0, 0
